scenario,position,attribute,attr1,attr2,attr3,attr4,attr5
microwave_cover,1,diameter,-21.0,0.0,0.0,0.0,0.0
microwave_cover,2,vent_holes,0.0,0.0,-92.0,0.0,0.0
microwave_cover,3,collapse_height,0.0,-92.0,0.0,0.0,0.0
microwave_cover,4,heat_resistance,0.0,0.0,0.0,23.0,0.0
microwave_cover,5,transparency,0.0,0.0,0.0,0.0,45.0
porch_swing,1,seating_capacity,0.0,0.0,0.0,0.0,62.0
porch_swing,2,back_support_angle,0.0,42.0,0.0,0.0,0.0
porch_swing,3,seat_depth,0.0,0.0,13.0,0.0,0.0
porch_swing,4,chain_strength,0.0,0.0,0.0,-20.0,0.0
porch_swing,5,weather_resistance,62.0,0.0,0.0,0.0,0.0
stability_ball,1,ball_diameter,0.0,0.0,0.0,79.0,0.0
stability_ball,2,burst_resistance,0.0,27.0,0.0,0.0,0.0
stability_ball,3,surface_grip_rating,0.0,0.0,44.0,0.0,0.0
stability_ball,4,material_thickness,79.0,0.0,0.0,0.0,0.0
stability_ball,5,anti_burst_rating,0.0,0.0,0.0,0.0,10.0
ink_cartridge,1,ink_capacity,4.0,0.0,0.0,0.0,0.0
ink_cartridge,2,flow_consistency,0.0,0.0,0.0,0.0,-57.0
ink_cartridge,3,drying_time,0.0,0.0,-50.0,0.0,0.0
ink_cartridge,4,color_saturation,0.0,0.0,0.0,30.0,0.0
ink_cartridge,5,shelf_life,0.0,-57.0,0.0,0.0,0.0
wood_glue,1,open_time,28.0,0.0,0.0,0.0,0.0
wood_glue,2,clamp_time,0.0,28.0,0.0,0.0,0.0
wood_glue,3,water_resistance,0.0,0.0,0.0,-61.0,0.0
wood_glue,4,bond_strength,0.0,0.0,-61.0,0.0,0.0
wood_glue,5,temperature_resistance,0.0,0.0,0.0,0.0,-13.0
sleep_sack,1,warmth_rating,-48.0,0.0,0.0,0.0,0.0
sleep_sack,2,length,0.0,32.0,0.0,0.0,0.0
sleep_sack,3,zipper_length,0.0,0.0,0.0,71.0,0.0
sleep_sack,4,neck_circumference,0.0,0.0,71.0,0.0,0.0
sleep_sack,5,fabric_weight,0.0,0.0,0.0,0.0,19.0
mixer,1,motor_power,0.0,0.0,0.0,0.0,78.0
mixer,2,bowl_capacity,0.0,-34.0,0.0,0.0,0.0
mixer,3,speed_settings,0.0,0.0,18.0,0.0,0.0
mixer,4,attachment_compatibility,0.0,0.0,0.0,-50.0,0.0
mixer,5,kneading_efficiency,78.0,0.0,0.0,0.0,0.0
dominoes,1,domino_size,-18.0,0.0,0.0,0.0,0.0
dominoes,2,pip_visibility,0.0,-50.0,0.0,0.0,0.0
dominoes,3,tile_weight,0.0,0.0,-40.0,0.0,0.0
dominoes,4,case_durability,0.0,0.0,0.0,0.0,63.0
dominoes,5,impact_resistance,0.0,0.0,0.0,63.0,0.0
crochet_hook,1,handle_length,0.0,0.0,-50.0,0.0,0.0
crochet_hook,2,grip_cushioning,0.0,-31.0,0.0,0.0,0.0
crochet_hook,3,handle_diameter,-50.0,0.0,0.0,0.0,0.0
crochet_hook,4,weight,0.0,0.0,0.0,-50.0,0.0
crochet_hook,5,grip_texture_depth,0.0,0.0,0.0,0.0,-37.0
sawhorse,1,weight_capacity,0.0,0.0,0.0,0.0,60.0
sawhorse,2,height,0.0,50.0,0.0,0.0,0.0
sawhorse,3,folded_thickness,0.0,0.0,-25.0,0.0,0.0
sawhorse,4,support_beam_width,0.0,0.0,0.0,-16.0,0.0
sawhorse,5,leg_spread_width,60.0,0.0,0.0,0.0,0.0
stockings,1,denier_thickness,0.0,0.0,0.0,-86.0,0.0
stockings,2,stretch_factor,0.0,26.0,0.0,0.0,0.0
stockings,3,durability_rating,0.0,0.0,-36.0,0.0,0.0
stockings,4,compression_level,-86.0,0.0,0.0,0.0,0.0
stockings,5,length,0.0,0.0,0.0,0.0,-50.0
fabric_markers,1,number_of_colors,0.0,-83.0,0.0,0.0,0.0
fabric_markers,2,tip_width,-83.0,0.0,0.0,0.0,0.0
fabric_markers,3,color_vibrancy,0.0,0.0,-4.0,0.0,0.0
fabric_markers,4,bleed_resistance,0.0,0.0,0.0,42.0,0.0
fabric_markers,5,drying_time,0.0,0.0,0.0,0.0,50.0
cherry_pitter,1,pitting_speed,0.0,90.0,0.0,0.0,0.0
cherry_pitter,2,splash_radius,90.0,0.0,0.0,0.0,0.0
cherry_pitter,3,pit_accuracy,0.0,0.0,-25.0,0.0,0.0
cherry_pitter,4,fruit_damage,0.0,0.0,0.0,-42.0,0.0
cherry_pitter,5,cleaning_time,0.0,0.0,0.0,0.0,-44.0
amusement_park,1,number_of_rides,-50.0,0.0,0.0,0.0,0.0
amusement_park,2,thrill_rides,0.0,0.0,0.0,66.0,0.0
amusement_park,3,park_size,0.0,0.0,43.0,0.0,0.0
amusement_park,4,shade_coverage,0.0,66.0,0.0,0.0,0.0
amusement_park,5,daily_shows,0.0,0.0,0.0,0.0,-7.0
snow_brush,1,brush_length,16.0,0.0,0.0,0.0,0.0
snow_brush,2,scraper_width,0.0,0.0,0.0,88.0,0.0
snow_brush,3,foam_grip_thickness,0.0,0.0,-50.0,0.0,0.0
snow_brush,4,brush_bristle_density,0.0,88.0,0.0,0.0,0.0
snow_brush,5,durability_rating,0.0,0.0,0.0,0.0,10.0
safety_pins,1,pin_length,21.0,0.0,0.0,0.0,0.0
safety_pins,2,spring_strength,0.0,14.0,0.0,0.0,0.0
safety_pins,3,rust_resistance,0.0,0.0,0.0,0.0,-95.0
safety_pins,4,clasp_security,0.0,0.0,0.0,43.0,0.0
safety_pins,5,bend_resistance,0.0,0.0,-95.0,0.0,0.0
sewing_machine,1,max_sewing_speed,0.0,0.0,61.0,0.0,0.0
sewing_machine,2,throat_space,0.0,-10.0,0.0,0.0,0.0
sewing_machine,3,number_of_stitches,61.0,0.0,0.0,0.0,0.0
sewing_machine,4,noise_level,0.0,0.0,0.0,28.0,0.0
sewing_machine,5,bobbin_capacity,0.0,0.0,0.0,0.0,32.0
pressure_cooker,1,capacity,0.0,-82.0,0.0,0.0,0.0
pressure_cooker,2,max_pressure,-82.0,0.0,0.0,0.0,0.0
pressure_cooker,3,heat_up_time,0.0,0.0,44.0,0.0,0.0
pressure_cooker,4,warranty_length,0.0,0.0,0.0,37.0,0.0
pressure_cooker,5,weight,0.0,0.0,0.0,0.0,37.0
necklace_stand,1,display_height,-3.0,0.0,0.0,0.0,0.0
necklace_stand,2,number_of_hooks,0.0,-14.0,0.0,0.0,0.0
necklace_stand,3,base_stability,0.0,0.0,0.0,-75.0,0.0
necklace_stand,4,hook_spacing,0.0,0.0,-75.0,0.0,0.0
necklace_stand,5,rotation_smoothness,0.0,0.0,0.0,0.0,3.0
soccer_ball,1,water_resistance,33.0,0.0,0.0,0.0,0.0
soccer_ball,2,durability,0.0,0.0,55.0,0.0,0.0
soccer_ball,3,air_retention,0.0,55.0,0.0,0.0,0.0
soccer_ball,4,shape_retention,0.0,0.0,0.0,30.0,0.0
soccer_ball,5,visibility,0.0,0.0,0.0,0.0,-29.0
